Year,Name,Female,Male
1880,Mary,7065,27
1880,Jessie,635,154
1880,Willie,192,476
1880,Ollie,183,63
1880,Marion,115,189
1880,Jean,59,12
1880,Francis,55,344
1880,John,46,9655
1880,William,30,9532
1880,Lee,28,361
1880,James,22,5927
1880,Cleo,17,5
1880,Frankie,17,0
1880,Sidney,16,142
1880,Jimmie,15,24
1880,Eddie,12,129
1880,Robert,12,2415
1880,Charles,11,5348
1880,Joseph,10,2632
1880,Tommie,10,15
1880,Johnnie,9,24
1880,Leslie,8,79
1880,Carey,6,13
1880,Freddie,6,9
1880,Merle,6,17
1880,Robbie,6,0
1880,Guadalupe,5,0
1880,Jesse,5,569
1880,Joe,5,731
1880,Lynn,5,30
1880,David,0,869
1880,Charlie,0,730
1880,Michael,0,354
1880,Jerry,0,136
1880,Harley,0,70
1880,Emery,0,52
1880,Chris,0,49
1880,Christian,0,43
1880,Riley,0,41
1880,Taylor,0,37
1880,Morgan,0,33
1880,Elisha,0,32
1880,Emerson,0,25
1880,Jordan,0,23
1880,Loren,0,22
1880,Aubrey,0,21
1880,Dallas,0,20
1880,Addison,0,19
1880,Adrian,0,18
1880,Sandy,0,18
1880,Parker,0,14
1880,Logan,0,13
1880,Bailey,0,12
1880,Dana,0,12
1880,Hunter,0,12
1880,Pat,0,12
1880,Billie,0,10
1880,Noel,0,10
1880,Terry,0,10
1880,Avery,0,9
1880,Ashley,0,8
1880,Shelby,0,8
1880,Tyler,0,7
1880,Reese,0,6
1880,Stacy,0,6
1880,Tracy,0,6
1880,Hayden,0,5
1880,Justice,0,5
1880,Kelly,0,5
1880,Payton,0,5
1880,Rene,0,5
1881,Mary,6919,29
1881,Jessie,661,143
1881,Willie,229,498
1881,Ollie,169,45
1881,Marion,110,162
1881,Francis,47,259
1881,Jean,44,9
1881,Lee,39,342
1881,William,30,8524
1881,Johnnie,27,45
1881,John,26,8769
1881,Frankie,24,0
1881,James,24,5441
1881,Cleo,23,0
1881,Jimmie,22,20
1881,Charles,17,4636
1881,Sidney,16,129
1881,Eddie,11,109
1881,Leslie,11,92
1881,Joe,10,639
1881,Joseph,10,2456
1881,Robert,9,2140
1881,Tommie,8,11
1881,Carmen,7,0
1881,Courtney,6,0
1881,Guadalupe,6,8
1881,Merle,6,13
1881,Charlie,5,668
1881,Jesse,5,536
1881,David,0,750
1881,Michael,0,298
1881,Jerry,0,97
1881,Harley,0,61
1881,Christian,0,53
1881,Emery,0,53
1881,Chris,0,52
1881,Riley,0,47
1881,Taylor,0,39
1881,Elisha,0,29
1881,Avery,0,25
1881,Dallas,0,25
1881,Morgan,0,23
1881,Loren,0,22
1881,Lynn,0,21
1881,Emerson,0,20
1881,Pat,0,20
1881,Jordan,0,18
1881,Addison,0,17
1881,Aubrey,0,15
1881,Sandy,0,14
1881,Logan,0,13
1881,Noel,0,13
1881,Adrian,0,12
1881,Parker,0,12
1881,Shelby,0,11
1881,Dana,0,9
1881,Freddie,0,9
1881,Bailey,0,8
1881,Billie,0,8
1881,Carey,0,8
1881,Kelly,0,8
1881,Reese,0,8
1881,Ashley,0,6
1881,Ashton,0,6
1881,Dale,0,6
1881,Hunter,0,6
1881,Blair,0,5
1881,Rene,0,5
1881,Robin,0,5
1881,Shannon,0,5
1882,Mary,8148,30
1882,Jessie,806,192
1882,Willie,291,541
1882,Ollie,218,78
1882,Marion,141,157
1882,Jean,60,12
1882,Francis,54,327
1882,Lee,43,427
1882,John,40,9557
1882,William,31,9298
1882,Johnnie,24,59
1882,Charles,23,5091
1882,Jimmie,22,20
1882,Frankie,21,0
1882,Cleo,18,0
1882,James,18,5892
1882,Eddie,16,169
1882,Joe,15,739
1882,Robert,12,2500
1882,Merle,11,13
1882,Leslie,9,122
1882,Sidney,9,146
1882,Tommie,8,8
1882,Carmen,7,0
1882,Guadalupe,7,0
1882,Charlie,6,753
1882,Dana,6,14
1882,Joseph,6,2670
1882,Courtney,5,0
1882,Jesse,5,660
1882,David,0,838
1882,Michael,0,321
1882,Jerry,0,105
1882,Harley,0,75
1882,Riley,0,54
1882,Emery,0,53
1882,Christian,0,49
1882,Chris,0,39
1882,Elisha,0,35
1882,Loren,0,35
1882,Pat,0,28
1882,Dallas,0,27
1882,Lynn,0,27
1882,Taylor,0,27
1882,Morgan,0,24
1882,Addison,0,21
1882,Billie,0,20
1882,Sandy,0,19
1882,Adrian,0,18
1882,Carey,0,18
1882,Logan,0,17
1882,Aubrey,0,16
1882,Emerson,0,15
1882,Avery,0,14
1882,Parker,0,14
1882,Kelly,0,13
1882,Shelby,0,13
1882,Jordan,0,12
1882,Hunter,0,10
1882,Noel,0,10
1882,Tracy,0,9
1882,Bailey,0,8
1882,Reese,0,8
1882,Ashley,0,7
