Year,Name,Female,Male
1880,Mary,7065,27
1880,Anna,2604,12
1880,Emma,2003,10
1880,Elizabeth,1939,9
1880,Margaret,1578,0
1880,Alice,1414,0
1880,Sarah,1288,0
1880,Annie,1258,6
1880,Clara,1226,8
1880,Florence,1063,8
1880,Martha,1040,0
1880,Laura,1012,0
1880,Grace,982,6
1880,Carrie,949,8
1880,Julia,783,0
1880,Rose,700,7
1880,Catherine,688,0
1880,Lillian,672,0
1880,Helen,636,0
1880,Jessie,635,154
1880,Louise,635,0
1880,Ethel,633,6
1880,Eva,614,0
1880,Frances,605,16
1880,Edna,588,0
1880,Pearl,569,62
1880,Rosa,507,0
1880,Katherine,502,5
1880,Marie,471,0
1880,Nancy,410,0
1880,Susan,286,0
1880,Alma,277,14
1880,Amanda,241,0
1880,Rebecca,236,0
1880,Ruth,234,0
1880,Jane,215,0
1880,Virginia,213,0
1880,Emily,210,0
1880,Irene,204,0
1880,Kathryn,204,0
1880,Willie,192,476
1880,Ollie,183,63
1880,Amy,167,0
1880,Rachel,166,0
1880,Sara,165,0
1880,Theresa,153,0
1880,Augusta,151,5
1880,Ora,149,64
1880,Mildred,132,0
1880,Ann,131,0
1880,Lou,131,14
1880,Barbara,127,0
1880,Maria,125,0
1880,Evelyn,122,0
1880,Betty,117,0
1880,Marion,115,189
1880,Dorothy,112,0
1880,Allie,105,31
1880,Victoria,93,0
1880,Ruby,92,6
1880,Winifred,92,0
1880,Christine,89,0
1880,Isabel,81,0
1880,Carolyn,80,0
1880,Essie,78,0
1880,Eunice,67,0
1880,Christina,65,0
1880,Cynthia,61,0
1880,Bernice,59,0
1880,Jean,59,12
1880,Marian,56,0
1880,Francis,55,344
1880,Gussie,54,0
1880,Lois,53,0
1880,Hallie,51,6
1880,Teresa,50,0
1880,John,46,9655
1880,Georgie,43,0
1880,Ivy,33,5
1880,Melissa,33,0
1880,Norma,32,0
1880,William,30,9532
1880,Artie,29,5
1880,Janet,28,0
1880,Lee,28,361
1880,Linda,27,0
1880,Alpha,26,6
1880,George,26,5126
1880,James,22,5927
1880,Julie,22,0
1880,Vivian,22,7
1880,Claire,21,0
1880,Hazel,21,0
1880,Kathleen,21,0
1880,Samantha,21,0
1880,Donnie,20,0
1880,Gladys,20,0
1880,Antonia,18,0
1880,Alva,17,70
1880,Cleo,17,5
1880,Donna,17,0
1880,Ellie,17,0
1880,Frankie,17,0
1880,Ira,16,249
1880,Sidney,16,142
1880,Clare,15,8
1880,Jimmie,15,24
1880,Patsy,15,0
1880,Bonnie,14,0
1880,Cecil,14,45
1880,June,14,9
1880,Louie,14,33
1880,Clyde,13,221
1880,Dolores,13,0
1880,Fay,13,15
1880,Frank,13,3242
1880,Lonnie,13,53
1880,Claudie,12,0
1880,Connie,12,7
1880,Deborah,12,0
1880,Eddie,12,129
1880,Joan,12,0
1880,Robert,12,2415
1880,Beryl,11,0
1880,Charles,11,5348
1880,Henry,11,2444
1880,Lennie,11,0
1880,Diana,10,0
1880,Joseph,10,2632
1880,Tommie,10,15
1880,Vernie,10,6
1880,Arie,9,0
1880,Corrie,9,0
1880,Dell,9,15
1880,Doris,9,0
1880,Fred,9,1569
1880,Johnnie,9,24
1880,Bennie,8,26
1880,Camille,8,0
1880,Jewell,8,0
1880,Leslie,8,79
1880,Ocie,8,0
1880,Ray,8,142
1880,Shirley,8,10
1880,Thomas,8,2534
1880,Walter,8,1755
1880,Angela,7,0
1880,Carol,7,0
1880,Clarence,7,730
1880,Jessica,7,0
1880,Theo,7,9
1880,Ara,6,0
1880,Augustine,6,12
1880,Carey,6,13
1880,Clifford,6,127
1880,Dee,6,20
1880,Erie,6,6
1880,Freddie,6,9
1880,Harry,6,2152
1880,Lacy,6,9
1880,Leo,6,147
1880,Merle,6,17
1880,Robbie,6,0
1880,Sammie,6,6
1880,Arthur,5,1599
1880,Clair,5,12
1880,Glenn,5,43
1880,Guadalupe,5,0
1880,Isa,5,0
1880,Jesse,5,569
1880,Jewel,5,5
1880,Joe,5,731
1880,Judith,5,0
1880,Judy,5,0
1880,Louis,5,828
1880,Lynn,5,30
1880,Ossie,5,9
1880,Thelma,5,0
1880,Edward,0,2364
1880,Albert,0,1493
1880,Samuel,0,1024
1880,David,0,869
1880,Charlie,0,730
1880,Richard,0,728
1880,Andrew,0,644
1880,Daniel,0,643
1880,Ernest,0,615
1880,Oscar,0,544
1880,Peter,0,496
1880,Benjamin,0,490
1880,Frederick,0,483
1880,Alfred,0,469
1880,Sam,0,457
1880,Roy,0,440
1880,Herbert,0,424
1880,Jacob,0,404
1880,Elmer,0,373
1880,Carl,0,372
1880,Howard,0,357
1880,Martin,0,357
1880,Michael,0,354
1880,Earl,0,335
1880,Eugene,0,328
1880,Ralph,0,317
1880,Edwin,0,309
1880,Charley,0,305
1880,Paul,0,301
1880,Lawrence,0,257
1880,Patrick,0,248
1880,Alexander,0,211
1880,August,0,210
1880,Floyd,0,206
1880,Jack,0,204
1880,Leonard,0,200
1880,Philip,0,186
1880,Allen,0,184
1880,Archie,0,183
1880,Stephen,0,176
1880,Raymond,0,165
1880,Alex,0,147
1880,Jerry,0,136
1880,Calvin,0,134
1880,Perry,0,134
1880,Anthony,0,130
1880,Dennis,0,128
1880,Leroy,0,124
1880,Wesley,0,123
1880,Leon,0,118
1880,Nathan,0,114
1880,Harold,0,113
1880,Matthew,0,113
1880,Lester,0,109
1880,Adam,0,104
1880,Jay,0,103
1880,Melvin,0,103
1880,Noah,0,103
1880,Aaron,0,102
1880,Alvin,0,102
1880,Norman,0,102
1880,Elijah,0,100
1880,Victor,0,100
1880,Christopher,0,95
1880,Maurice,0,93
1880,Mark,0,85
1880,Jose,0,84
1880,Virgil,0,81
1880,Marshall,0,78
1880,Manuel,0,75
1880,Phillip,0,75
1880,Nicholas,0,73
1880,Harley,0,70
1880,Timothy,0,70
1880,Marvin,0,69
1880,Curtis,0,68
1880,Stanley,0,65
1880,Russell,0,62
1880,Asa,0,60
1880,Nathaniel,0,60
1880,Scott,0,60
1880,Andy,0,58
1880,Ellis,0,58
1880,Joshua,0,57
1880,Vernon,0,56
1880,Austin,0,53
1880,Monroe,0,53
1880,Emery,0,52
1880,Jerome,0,52
1880,Chris,0,49
1880,Bruce,0,47
1880,Marcus,0,47
1880,Donald,0,46
1880,Christian,0,43
1880,Tony,0,42
1880,Joel,0,41
1880,Riley,0,41
1880,Vincent,0,41
1880,Emory,0,40
1880,Ezra,0,39
1880,Juan,0,39
1880,Taylor,0,37
1880,Spencer,0,35
1880,Don,0,34
